"","wijk_id","wijk_district_and_neighborhood","wijk_municipality","wijk_type_region","wijk_code","wijk_change_in_layout","wijk_number_of_inhabitants","wijk_n_Sixty_Five_Years_Or_Older","wijk_WesternTotal","wijk_Non_Western_Total","wijk_Morocco","wijk_Turkey","wijk_Population_Density","wijk_Average_Home_Value","wijk_Average_Income_Per_Income_Recipient","wijk_Average_Income_Per_Inhabitant","wijk_40_Lowest_Income_People","wijk_20_Persons_With_Highest_Income","wijk_40_Lowest_Income_Households","wijk_20_House_holds_With_Highest_Income","wijk_low_income_households","wijk_House_hold_Under_Or_Around_Social_Minimum","wijk_code_six_digits"
"899",898,"WK036305","Amsterdam","Wijk","WK036305","1",9300,1390,2200,1525,190,80,"16994","404","43","36.4","35.9","31.3","49.9","21.2","14","13.7","036305"
"906",905,"WK036306","Amsterdam","Wijk","WK036306","1",19305,3005,4745,2530,295,180,"23133","347","40.1","34.9","37.2","28","55.4","16","14.5","14.2","036306"
"918",917,"WK036307","Amsterdam","Wijk","WK036307","1",7255,900,1975,860,50,75,"13050","460","50.6","42.7","31","36.2","45.7","24.4","10.4","9.6","036307"
"927",926,"WK036308","Amsterdam","Wijk","WK036308","1",7895,1115,2020,1305,160,65,"10172","419","46.2","39.9","33.8","32.5","50.7","21.5","12","11.1","036308"
"932",931,"WK036309","Amsterdam","Wijk","WK036309","1",12985,1710,2495,3075,595,210,"13159","317","35.6","30.3","38.7","25.6","53.1","16.6","13.6","13.3","036309"
"941",940,"WK036310","Amsterdam","Wijk","WK036310","1",190,15,60,25,0,5,"10",".","24.3","21.1","57.3","12.6","74.4","5","34.6","30.8","036310"
"950",949,"WK036311","Amsterdam","Wijk","WK036311","1",145,10,80,30,5,5,"20",".",".","31.1",".",".",".",".",".",".","036311"
"958",957,"WK036312","Amsterdam","Wijk","WK036312","1",1060,120,260,110,15,10,"3543","277","51.5","42.5","24.5","44.1","31.3","29.5","8.8","6.9","036312"
"961",960,"WK036313","Amsterdam","Wijk","WK036313","1",10795,1270,1905,3370,870,260,"7903","257","30.7","25.7","42.6","20","58.4","12.1","18.5","17.8","036313"
"970",969,"WK036314","Amsterdam","Wijk","WK036314","1",13260,1145,2760,3295,915,260,"28025","278","35.3","30","36.3","26.6","51.8","15.4","14.3","14.2","036314"
"977",976,"WK036315","Amsterdam","Wijk","WK036315","1",2450,245,460,645,225,50,"4712","328","36.3","29.9","35.1","28.3","40.9","22.6","10.1","9.6","036315"
"982",981,"WK036316","Amsterdam","Wijk","WK036316","1",8410,940,1830,1785,495,145,"23456","286","37.6","32.4","35","29","52.2","16.6","14.9","14","036316"
"986",985,"WK036317","Amsterdam","Wijk","WK036317","1",4735,555,1160,720,130,50,"21803","342","41.7","36","32.1","33.2","48.7","20.3","10.2","10.1","036317"
"988",987,"WK036318","Amsterdam","Wijk","WK036318","1",6390,485,1305,1550,420,210,"25353","287","36.5","31.4","35.5","27.5","52.6","15.9","14.6","13.8","036318"
"991",990,"WK036319","Amsterdam","Wijk","WK036319","1",6985,910,1405,2060,595,245,"27993","272","32.5","28.2","41.2","22","60.1","11.1","16.8","16.9","036319"
"995",994,"WK036320","Amsterdam","Wijk","WK036320","1",7465,765,1810,960,110,75,"22294","402","46.7","39.1","32.2","35.5","47.3","23","11.3","10.9","036320"
"999",998,"WK036321","Amsterdam","Wijk","WK036321","1",7805,655,1960,1035,130,100,"26203","345","45.1","38.1","28.1","36.6","43.5","23.3","9.5","9.2","036321"
"1002",1001,"WK036322","Amsterdam","Wijk","WK036322","1",1895,335,535,270,45,20,"8758","760","71.8","56.6","34.5","37.2","46.1","30.3","11.7","10.7","036322"
"1005",1004,"WK036323","Amsterdam","Wijk","WK036323","1",2805,70,770,1050,30,60,"1326","272","57.5","49.5","36.9","35.8","59.8","19.7","4.6","3.6","036323"
"1011",1010,"WK036324","Amsterdam","Wijk","WK036324","1",14705,1245,3520,2615,390,230,"23174","328","39.3","34.3","36.1","28.3","55.8","15.9","13.8","12.9","036324"
"1017",1016,"WK036325","Amsterdam","Wijk","WK036325","1",12300,1445,2620,2570,565,250,"23954","309","37.6","32.7","36","28.6","53.9","16.2","13.4","13.7","036325"
"1022",1021,"WK036326","Amsterdam","Wijk","WK036326","1",8255,1160,1440,2810,835,325,"23391","300","28.4","24","47.6","16.9","62.2","10.1","19.1","19","036326"
"1026",1025,"WK036327","Amsterdam","Wijk","WK036327","1",5425,460,1255,1015,215,75,"14686","368","43.4","36.7","31.7","35.8","45.4","23.5","10.3","9.1","036327"
"1030",1029,"WK036328","Amsterdam","Wijk","WK036328","1",10905,1115,1905,3725,1080,525,"15096","297","32.9","27.6","42.2","23.3","56.8","14.4","17.1","16.5","036328"
"1035",1034,"WK036329","Amsterdam","Wijk","WK036329","1",9755,1215,1500,3720,1135,650,"16436","289","31.2","26.3","44.1","21.5","57.9","13.3","16.5","16.8","036329"
"1039",1038,"WK036330","Amsterdam","Wijk","WK036330","1",9410,885,1350,4140,1590,670,"25498","283","28","22.9","47.4","17.2","58.8","11.5","18.9","17.6","036330"
"1042",1041,"WK036331","Amsterdam","Wijk","WK036331","1",12665,1075,2015,5845,2305,975,"27030","254","29.2","24.1","44.4","19.3","55.2","11.9","17.1","16.2","036331"
"1046",1045,"WK036332","Amsterdam","Wijk","WK036332","1",10260,1180,1275,5355,2075,1085,"10928","252","26.7","21.6","47.9","15.1","59.3","10.1","19.2","19.2","036332"
"1051",1050,"WK036333","Amsterdam","Wijk","WK036333","1",18640,1505,3445,3995,815,430,"12074","378","45.6","36.5","28.9","38.7","31.4","31.2","8.2","7.5","036333"
"1063",1062,"WK036334","Amsterdam","Wijk","WK036334","1",2175,55,545,465,35,40,"880","146","24.8","21.6","60","15.8","75.3","7.6","16.3","12.4","036334"
"1070",1069,"WK036335","Amsterdam","Wijk","WK036335","1",14530,640,2165,4970,1340,430,"12965","368","45.7","31.1","31.8","38.1","28.2","36.8","9.1","7.4","036335"
"1076",1075,"WK036336","Amsterdam","Wijk","WK036336","1",525,20,110,90,15,5,"440","370","45.1","40.3","22.1","47.1","30.7","29.3","11.3","11.3","036336"
"1079",1078,"WK036337","Amsterdam","Wijk","WK036337","1",18640,1450,2825,8180,3365,1875,"18243","230","28.8","23.2","43.8","17.7","57","10.3","17","15.4","036337"
"1086",1085,"WK036338","Amsterdam","Wijk","WK036338","1",5760,435,1015,1705,575,480,"15894","234","33.3","27.9","33.3","25.2","46.9","13","10.1","9.9","036338"
"1089",1088,"WK036339","Amsterdam","Wijk","WK036339","1",9915,800,1070,6040,2770,1625,"13759","220","24.9","19.1","49.8","13.4","61.5","8.8","18.6","17","036339"
"1094",1093,"WK036340","Amsterdam","Wijk","WK036340","1",6935,565,1445,1385,350,240,"25182","273","35.9","30.4","34.1","27.4","50.5","17.1","12.2","11.8","036340"
"1098",1097,"WK036341","Amsterdam","Wijk","WK036341","1",6980,500,1005,3255,995,545,"24213","233","28.5","23.9","43","17.7","59.1","8.3","18.7","18.1","036341"
"1103",1102,"WK036342","Amsterdam","Wijk","WK036342","1",10615,935,1740,3885,1260,840,"26587","234","31.1","25.7","39.8","21","56.7","11.5","16.8","16.2","036342"
"1108",1107,"WK036343","Amsterdam","Wijk","WK036343","1",6945,570,1440,1335,275,225,"21805","297","38.6","32.6","32.1","30.7","47.2","19","10.3","9.5","036343"
"1111",1110,"WK036344","Amsterdam","Wijk","WK036344","1",11845,1105,2535,1575,235,135,"13955","310","43.1","36.7","28.9","35.2","44.6","21.8","8.6","8.3","036344"
"1118",1117,"WK036345","Amsterdam","Wijk","WK036345","1",3835,335,830,675,100,65,"13239","317","40.3","35.1","34.2","29.8","52.4","17.1","13","12","036345"
"1121",1120,"WK036346","Amsterdam","Wijk","WK036346","1",5540,680,1720,595,55,55,"8676","815","95.3","69.2","26.2","47.7","28.2","45.5","6.3","6.3","036346"
"1126",1125,"WK036347","Amsterdam","Wijk","WK036347","1",12840,2380,3755,1200,35,75,"9776","815","83","64.3","26.3","45.1","32.3","38.6","6.2","5.7","036347"
"1137",1136,"WK036348","Amsterdam","Wijk","WK036348","1",11800,1715,2345,2585,550,255,"12330","347","41","34.4","36.7","29.5","50.9","19.3","12.2","12.4","036348"
"1144",1143,"WK036349","Amsterdam","Wijk","WK036349","1",8695,1540,2605,845,20,60,"9837","848","90.2","64.8","24.8","50.9","28.4","47.6","5.4","5","036349"
"1151",1150,"WK036350","Amsterdam","Wijk","WK036350","1",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".","036350"
"1157",1156,"WK036351","Amsterdam","Wijk","WK036351","1",7665,260,1155,2905,820,345,"11566","353","44.1","29","31.1","37.1","29.5","34","10","8.2","036351"
"1161",1160,"WK036352","Amsterdam","Wijk","WK036352","1",15085,2095,3055,1670,240,120,"15253","409","46.3","38.3","28.8","36.9","44.4","25.9","7.4","8.1","036352"
"1168",1167,"WK036353","Amsterdam","Wijk","WK036353","1",5370,665,1085,1090,275,130,"20961","314","32.9","28.6","39.7","22.9","57.6","13.3","13","13.2","036353"
"1171",1170,"WK036354","Amsterdam","Wijk","WK036354","1",9180,1250,1675,1730,385,135,"9513","303","35.5","30.9","38.2","26.1","56.7","14.6","13.4","13.8","036354"
"1177",1176,"WK036355","Amsterdam","Wijk","WK036355","1",11065,1600,1910,2700,740,225,"6995","273","33.3","28","41.5","23.3","59.7","16.1","12.4","12.2","036355"
"1186",1185,"WK036356","Amsterdam","Wijk","WK036356","1",15575,1675,3220,2045,325,160,"5523","358","42.1","33.2","33.7","34","44","27.5","5.9","5.3","036356"
"1196",1195,"WK036357","Amsterdam","Wijk","WK036357","1",3230,780,390,810,200,55,"2971","231","26.2","22.3","47","12.6","65.7","5.9","15.7","17.9","036357"
"1200",1199,"WK036358","Amsterdam","Wijk","WK036358","1",4425,180,780,1095,60,70,"1555","190","33.1","30","55.1","20.8","74.5","11.8","11.9","8.8","036358"
"1208",1207,"WK036359","Amsterdam","Wijk","WK036359","1",1310,310,410,145,10,10,"3433","625","79.9","58.8","23.1","51.7","20.5","43.9","3.8","3.7","036359"
"1211",1210,"WK036360","Amsterdam","Wijk","WK036360","1",9730,1170,1135,3865,1125,485,"8145","185","23.3","18.4","52.6","8.8","65.7","6.2","20.2","19.3","036360"
"1215",1214,"WK036361","Amsterdam","Wijk","WK036361","1",8285,910,1115,3715,1200,370,"7001","198","24.7","19.8","50.1","11.1","62.1","7.6","19.9","18.7","036361"
"1220",1219,"WK036362","Amsterdam","Wijk","WK036362","1",3535,850,380,490,90,35,"8238","204","26.1","21.7","43.7","11.4","58.9","9.4","10.4","12","036362"
"1223",1222,"WK036363","Amsterdam","Wijk","WK036363","1",1925,335,190,375,95,30,"11419","194","24.4","19.8","47.5","10.4","57.9","9.5","14.3","12.9","036363"
"1225",1224,"WK036364","Amsterdam","Wijk","WK036364","1",1685,240,275,75,10,5,"4705","437","50.5","36.8","29.3","41.8","16","53.3","4","3.7","036364"
"1231",1230,"WK036365","Amsterdam","Wijk","WK036365","1",11345,1970,1135,2955,780,365,"7137","202","26.8","21.3","43.6","14","52.6","12.6","12.7","12.4","036365"
"1236",1235,"WK036366","Amsterdam","Wijk","WK036366","1",8900,1280,1010,2680,560,500,"3537","213","29.1","23.1","40.8","17.9","43.6","18.3","11","9.4","036366"
"1243",1242,"WK036367","Amsterdam","Wijk","WK036367","1",3070,535,335,525,100,65,"2278","299","35.2","27.6","36.5","23.9","30.5","30.9","6.2","5.7","036367"
"1246",1245,"WK036368","Amsterdam","Wijk","WK036368","1",13265,1590,1470,7715,2230,1690,"9313","191","25.6","18.9","47.7","12.5","52.4","9.9","15.1","13.3","036368"
"1253",1252,"WK036369","Amsterdam","Wijk","WK036369","1",11120,2415,1485,5005,1060,785,"7363","175","24.8","19.9","49.2","11.5","60","7.3","14.6","14.1","036369"
"1260",1259,"WK036370","Amsterdam","Wijk","WK036370","1",14365,2285,1525,7270,1975,1615,"8672","191","25.3","19.4","48.8","12.5","54.3","11","15.7","14.7","036370"
"1267",1266,"WK036371","Amsterdam","Wijk","WK036371","1",2545,180,460,500,45,30,"1018","245","41.3","35","40.6","33","53.7","26.1","11","6.6","036371"
"1273",1272,"WK036372","Amsterdam","Wijk","WK036372","1",205,15,70,30,0,5,"302","243","26.2","23.3","49.2","14.1","68.7","9.2","11.8","9.8","036372"
"1277",1276,"WK036373","Amsterdam","Wijk","WK036373","1",2200,430,225,100,5,10,"89","494","42.9","34.1","35.3","32.7","23.5","41.6","5.4","5.3","036373"
"1288",1287,"WK036374","Amsterdam","Wijk","WK036374","1",2555,210,365,770,140,120,"3128","322","39.9","28.8","29.5","33.8","24.9","37","8.6","7.5","036374"
"1292",1291,"WK036375","Amsterdam","Wijk","WK036375","1",6205,490,1005,2225,825,460,"24482","289","32.3","25.9","40.3","23.9","53.3","17","16.5","15","036375"
"1297",1296,"WK036376","Amsterdam","Wijk","WK036376","1",9410,945,1175,6025,2505,1725,"9772","158","23.7","17.4","52.3","10","61.4","7.8","21.5","19","036376"
"1300",1299,"WK036377","Amsterdam","Wijk","WK036377","1",17370,1995,1865,10875,4905,2905,"7727","158","23.8","18","51.7","10.2","61.4","8","20.3","18.7","036377"
"1307",1306,"WK036378","Amsterdam","Wijk","WK036378","1",15720,1620,1765,10295,4115,3690,"11905","186","24.4","17.7","49.6","11.3","55.4","9.6","17.7","15.8","036378"
"1313",1312,"WK036379","Amsterdam","Wijk","WK036379","1",2460,350,350,1055,285,355,"1109","238","29.8","23.5","37.9","17.2","36.9","18.4","7.4","6.7","036379"
"1316",1315,"WK036380","Amsterdam","Wijk","WK036380","1",865,140,115,115,30,30,"162","428","34.8","28.1","44.3","23.8","39.5","28.9","11.5","11.5","036380"
"1320",1319,"WK036381","Amsterdam","Wijk","WK036381","1",16115,3235,2245,7825,3260,1660,"10227","181","26.8","21.5","46.6","13.9","59.4","9.5","14.4","14","036381"
"1326",1325,"WK036382","Amsterdam","Wijk","WK036382","1",16010,1755,1915,10340,4590,2580,"15510","198","26.7","19.5","47.2","15","53.8","11.6","16.4","15.3","036382"
"1331",1330,"WK036383","Amsterdam","Wijk","WK036383","1",5995,790,840,3205,1040,850,"10029","167","25","19.2","46.6","11.2","55.7","9.4","14.9","14.5","036383"
"1334",1333,"WK036384","Amsterdam","Wijk","WK036384","1",14440,1660,1775,6070,1885,1395,"9573","298","34.7","26.9","37.9","24.9","34","29.6","7.4","6.9","036384"
"1338",1337,"WK036385","Amsterdam","Wijk","WK036385","1",7895,1225,1185,3560,1385,890,"7113","221","29.4","22.5","43.3","17.9","52.9","16.2","14.1","13.5","036385"
"1342",1341,"WK036386","Amsterdam","Wijk","WK036386","1",12320,1045,2085,6960,3530,1415,"8473","191","27.1","20.9","47.3","16.5","53.2","12.9","14.5","13.4","036386"
"1349",1348,"WK036387","Amsterdam","Wijk","WK036387","1",8705,715,1815,3425,1025,525,"6161","187","36.1","29.4","39.7","27.9","55.4","16.6","18.1","15.1","036387"
"1356",1355,"WK036388","Amsterdam","Wijk","WK036388","1",13990,1990,2280,3835,890,665,"2998","289","36.1","29.4","34","27.4","30.8","29.2","6.1","5.6","036388"
"1367",1366,"WK036389","Amsterdam","Wijk","WK036389","1",10185,1545,1560,5105,2345,860,"8154","196","25.8","20.2","49.4","12.8","61.6","9.1","14.5","13.2","036389"
"1372",1371,"WK036390","Amsterdam","Wijk","WK036390","1",13070,3180,3450,2795,230,165,"4592","293","43.6","36","32.6","30.2","45.4","20.5","7.4","8.5","036390"
"1379",1378,"WK036391","Amsterdam","Wijk","WK036391","1",7765,2255,2025,1845,175,165,"5067","264","40.1","33.4","33","28.3","48.5","17.5","8.9","9.1","036391"
"1384",1383,"WK036392","Amsterdam","Wijk","WK036392","1",665,10,140,240,25,15,"134","76","21","19.5","71.5","12.2","86.6","2.1","22.7","13.4","036392"
"1392",1391,"WK036393","Amsterdam","Wijk","WK036393","1",24395,1600,2685,17510,650,445,"8058","128","22.3","17.6","54.8","8.5","69.3","5.4","22.9","21.3","036393"
"1404",1403,"WK036394","Amsterdam","Wijk","WK036394","1",28495,3205,2845,19465,595,305,"7695","156","25.1","20","48.5","11.8","60.5","8.6","18.8","19.3","036394"
"1419",1418,"WK036395","Amsterdam","Wijk","WK036395","1",2985,635,520,970,25,30,"1365","140","33.6","28.3","28.8","23.1","45.2","9.7","6.7","6.7","036395"
"1423",1422,"WK036396","Amsterdam","Wijk","WK036396","1",18300,2700,1635,11370,425,150,"7051","155","24.5","19.5","48.8","10.7","57.2","8.4","16.5","17.2","036396"
"1431",1430,"WK036397","Amsterdam","Wijk","WK036397","1",11470,1365,1275,5980,195,60,"6257","176","27.9","22.7","41","14.9","47.3","13.7","13.3","12.7","036397"
"1436",1435,"WK036398","Amsterdam","Wijk","WK036398","1",1525,255,150,130,15,10,"870","251","32.6","26.2","36.8","22.9","31.9","27.4","4.1","4.1","036398"
"1440",1439,"WK020001","Apeldoorn","Wijk","WK020001","1",6720,1525,785,770,40,155,"6033","149","29.5","27","38.1","16.2","56.5","7.8","9.3","7.7","020001"
"1443",1442,"WK020002","Apeldoorn","Wijk","WK020002","1",21465,5185,1845,1775,110,605,"1900","231","35.3","28.9","37.7","23","37.6","23.2","6.8","6.2","020002"
"1451",1450,"WK020003","Apeldoorn","Wijk","WK020003","1",14420,3215,1015,795,50,295,"1919","220","32.3","26.5","37.4","20.5","31.1","22.4","5.4","4.9","020003"
"1463",1462,"WK020004","Apeldoorn","Wijk","WK020004","1",18620,3235,1630,2545,180,1170,"2996","155","26.4","21.5","43.5","12.1","49.2","10.7","9.9","8.6","020004"
"1473",1472,"WK020005","Apeldoorn","Wijk","WK020005","1",26255,4750,2470,1965,185,325,"4430","168","28.9","22.7","39.1","16.7","35.1","15","6.6","5.7","020005"
"1482",1481,"WK020006","Apeldoorn","Wijk","WK020006","1",18815,2775,1385,1350,85,445,"3075","233","35","27.3","35.2","26.7","24.4","30.2","4.4","3.8","020006"
"1491",1490,"WK020007","Apeldoorn","Wijk","WK020007","1",22265,4040,1895,3475,160,1105,"2693","190","29","22.3","41.3","17.1","38.9","16.6","9.3","7.6","020007"
"1501",1500,"WK020008","Apeldoorn","Wijk","WK020008","1",12550,3335,1020,745,60,120,"1817","245","35.5","29.3","36.8","23.8","37.7","23.4","6.9","5.7","020008"
"1511",1510,"WK020010","Apeldoorn","Wijk","WK020010","1",3000,410,65,25,0,5,"52","295","29.3","21.7","45.3","19.7","26.3","30.8","4.8","3.7","020010"
"1516",1515,"WK020011","Apeldoorn","Wijk","WK020011","1",340,110,35,5,0,0,"8","395","48.9","42.6","33.3","34.3","20.4","40.1","2.4","5.4","020011"
"1521",1520,"WK020012","Apeldoorn","Wijk","WK020012","1",1550,390,95,75,15,5,"32","308","32.7","29","41.3","19.4","42","25.5","6.8","5.9","020012"
"1526",1525,"WK020013","Apeldoorn","Wijk","WK020013","1",3130,735,165,55,5,15,"85","265","32.8","27.5","39.2","21.5","32.6","25.5","5","5","020013"
"1530",1529,"WK020014","Apeldoorn","Wijk","WK020014","1",4715,1240,350,135,15,15,"187","309","34.6","28.6","38.4","22.5","36.7","25.1","6.5","5.8","020014"
"1535",1534,"WK020015","Apeldoorn","Wijk","WK020015","1",1210,255,45,20,0,5,"181","323","32.9","26","39.5","20.8","23.2","35.5","2.2","2.2","020015"
"1539",1538,"WK020016","Apeldoorn","Wijk","WK020016","1",1850,325,65,10,0,0,"78","315","32.3","26.5","41","18.9","27.5","32.5","4.9","4.5","020016"
"1544",1543,"WK020017","Apeldoorn","Wijk","WK020017","1",3125,625,160,55,0,5,"72","380","35.8","28.7","40.7","23.1","26.3","37.2","5.9","5.6","020017"
"1552",1551,"WK000300","Appingedam","Wijk","WK000300","1",11970,2845,880,735,45,265,"503","134","26.8","21.6","45.8","13.3","48.7","11.5","10.2","9.2","000300"
"1560",1559,"WK020201","Arnhem","Wijk","WK020201","1",5360,585,850,800,35,95,"5024","138","27.9","26.1","45.9","13.5","70.6","6.3","17.4","13.4","020201"
"1567",1566,"WK020202","Arnhem","Wijk","WK020202","1",6540,420,875,965,70,170,"12802","155","27.6","25.2","47","15.1","71.7","7.5","18.2","13.7","020202"
"1571",1570,"WK020203","Arnhem","Wijk","WK020203","1",6005,490,700,2025,115,1010,"1379","137","22.7","18.4","54.6","9.2","67.6","6.1","23.9","20.7","020203"
"1578",1577,"WK020204","Arnhem","Wijk","WK020204","1",7950,1210,805,3835,560,1600,"5569","128","21","16.5","57.8","6.6","67.4","4.4","23.2","20.4","020204"
"1582",1581,"WK020205","Arnhem","Wijk","WK020205","1",6855,1475,810,1440,195,460,"2079","128","24.9","21","45.8","10.5","58","5.8","10.4","9.7","020205"
"1587",1586,"WK020206","Arnhem","Wijk","WK020206","1",4700,205,585,530,40,175,"16925","181","32.3","27.3","37.5","23.4","53.4","13.8","12.1","8.8","020206"
"1590",1589,"WK020207","Arnhem","Wijk","WK020207","1",7495,680,840,1770,115,775,"10952","140","24.9","21","50.4","12.4","65.6","6.5","21.3","18.2","020207"
"1595",1594,"WK020208","Arnhem","Wijk","WK020208","1",8780,1755,910,610,25,85,"3952","234","39.6","31.3","31.3","31.5","35.9","28.4","6.7","5.8","020208"
"1602",1601,"WK020209","Arnhem","Wijk","WK020209","1",4505,1230,485,165,10,15,"2704","264","37.9","30.6","31.4","29.8","34","28.2","4.3","4.8","020209"
"1606",1605,"WK020210","Arnhem","Wijk","WK020210","1",3935,595,420,570,35,150,"8157","129","21.1","17.3","56.5","4.9","71.9","2.4","25.9","22.1","020210"
"1608",1607,"WK020211","Arnhem","Wijk","WK020211","1",4160,890,445,385,25,95,"1561","204","32.9","26.5","37.2","21.2","47.5","17.3","11.5","8.8","020211"
"1612",1611,"WK020212","Arnhem","Wijk","WK020212","1",7695,1380,855,355,20,40,"2230","340","47.8","38","30.8","38.1","32.5","35.4","5.5","4.4","020212"
"1619",1618,"WK020213","Arnhem","Wijk","WK020213","1",2105,420,215,75,10,10,"41","464","45.1","36.6","38.9","32.1","37.1","32.5","9","7.9","020213"
"1624",1623,"WK020214","Arnhem","Wijk","WK020214","1",4065,480,470,345,25,55,"5668","193","34.1","28.3","33.6","25.3","44.6","18.5","9.6","7.6","020214"
"1628",1627,"WK020215","Arnhem","Wijk","WK020215","1",1365,395,150,65,5,5,"697","291","42.1","34.5","31.1","33.9","31.7","30.1","7.1","5.3","020215"
"1631",1630,"WK020216","Arnhem","Wijk","WK020216","1",4280,380,505,1520,360,425,"1386","148","26.1","19.8","47.3","13.2","54.5","9.1","19.6","17","020216"
"1634",1633,"WK020217","Arnhem","Wijk","WK020217","1",6270,630,660,1805,355,455,"4140","151","27.3","20.6","44","14.6","50.4","10.5","15.6","13.7","020217"
"1638",1637,"WK020218","Arnhem","Wijk","WK020218","1",7935,1395,765,3595,685,920,"5841","126","20.4","15.6","59.4","5.1","67.4","3.6","24.6","23.6","020218"
"1644",1643,"WK020219","Arnhem","Wijk","WK020219","1",8335,1955,1170,2060,280,410,"3352","139","26.8","22.1","46","12.6","57.9","8.8","15.6","14.9","020219"
"1649",1648,"WK020220","Arnhem","Wijk","WK020220","1",2645,635,240,370,5,20,"1453","221","31.6","25.3","40.1","20.3","35.8","24.9","5.2","5.1","020220"
"1651",1650,"WK020221","Arnhem","Wijk","WK020221","1",9055,2075,1105,1315,90,215,"4105","145","26.8","21.6","43.5","13.9","46.1","12.5","9.1","9.8","020221"
"1655",1654,"WK020222","Arnhem","Wijk","WK020222","1",12390,1525,1500,1735,110,280,"5355","152","28.6","22.5","39.4","15.7","39.8","13.1","10.6","9","020222"
"1658",1657,"WK020223","Arnhem","Wijk","WK020223","1",12835,1525,1565,2315,180,580,"3588","178","30.9","24.1","39.2","20.4","35.4","20.6","8.2","7.6","020223"
"1663",1662,"WK020224","Arnhem","Wijk","WK020224","1",10410,430,1060,1765,165,355,"2621","237","39.6","26.5","27.2","32.8","20.7","34.3","5.8","4.6","020224"
"1668",1667,"WK010600","Assen","Wijk","WK010600","1",5935,1975,505,390,20,10,"1900","169","32.9","29.4","39.5","18.7","52.9","14","11.6","9.2","010600"
"1682",1681,"WK010601","Assen","Wijk","WK010601","1",5630,1410,850,510,90,50,"4294","115","24.1","20.5","45.7","7.4","63.7","4.7","13.8","11.6","010601"
